original,cleaned
"speeds up work, access to info",speed up work access to info
"speeds up work, access to info",speed up work access to info
"speeds up work, access to info ",speed up work access to info
"speeds up work, access to info ",speed up work access to info
speeds up work,speed up work
starting point,starting point
"reducing teaching load, speeds up work",reducing teaching load speed up work
"reducing teaching load, speeds up work, checking knowledge/grammar",reducing teaching load speed up work checking knowledgegrammar
speeds up work,speed up work
speeds up work,speed up work
"speeds up work, reducing teaching load, access to info",speed up work reducing teaching load access to info
"speeds up work, starting point",speed up work starting point
"speeds up work, starting point ",speed up work starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
starting point ,starting point
"starting point, access to info",starting point access to info
"starting point, reducing teaching load",starting point reducing teaching load
access to info,access to info
starting point ,starting point
"starting point, access to ino",starting point access to ino
"starting point, checking knowledge/grammar, access to info",starting point checking knowledgegrammar access to info
"starting point, speeds up work",starting point speed up work
"starting point, speeds up work, checks knowledge/grammar, access to info",starting point speed up work check knowledgegrammar access to info
"starting point, checks knowledge/grammar",starting point check knowledgegrammar
"starting point, access to info",starting point access to info
"starting point, checking knowledge/grammar",starting point checking knowledgegrammar
"reducing teaching load, starting point, checking knowledge/grammar",reducing teaching load starting point checking knowledgegrammar
starting point ,starting point
starting point ,starting point
"starting point, checking knowedge/grammar",starting point checking knowedgegrammar
"starting point, checking knowedge/grammar",starting point checking knowedgegrammar
"starting point, writing support",starting point writing support
"starting point, writing support ",starting point writing support
checking knowledge/grammar,checking knowledgegrammar
checking knowledge/grammar,checking knowledgegrammar
writing support,writing support
writing support,writing support
writing support,writing support
writing support,writing support
writing support ,writing support
"writing support, speeds up work, reducing teaching load ",writing support speed up work reducing teaching load
"checking knowledge/grammar, access to info, starting point",checking knowledgegrammar access to info starting point
